tick_ms,target_speed,actual_speed,control_output,position,state,faults
10,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
20,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
30,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
40,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
50,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
60,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
70,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
80,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
90,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
100,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
110,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
120,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
130,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
140,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
150,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
160,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
170,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
180,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
190,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
200,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
210,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
220,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
230,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
240,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
250,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
260,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
270,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
280,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
290,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
300,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
310,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
320,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
330,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
340,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
350,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
360,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
370,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
380,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
390,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
400,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
410,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
420,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
430,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
440,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
450,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
460,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
470,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
480,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
490,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
500,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
